slide_num,slide_title,internal_view_id,pa_code_filter,date_format,linkUrl,rawUrl,left,top,height,width,isSinglePa,isMultiPa
2,Program Summary,c4cabd63-9ba5-4362-8058-78cd616845c1,PROJECT_ID,yyyymm,,https://tableau.l3harris.com/#/views/PRT-ProgramSummary_17359203511600/PortfolioProgramSummary1?:iid=1,0.2,1.2,5.81,9.61,TRUE,FALSE
3,Program/Portfolio Summary,601b4dd3-4219-4b57-8b78-db8c716a0a3c,PROJECT_ID,yyyymm,,https://tableau.l3harris.com/#views/PRT-ProgramSummary_17359203511600/PortfolioProgramSummary,0.2,1.2,5.81,9.61,FALSE,TRUE
4,Program/Portfolio Assessment,f172b156-baaa-4e23-afd6-32adba16ebfe,PROJECT_ID,yyyymm,https://tableau.l3harris.com/#/workbooks/9049/views,https://tableau.l3harris.com/#views/PRT-ProgramSummary_17359203511600/PortfolioProgramAssessment,0.2,1.2,5.81,9.61,FALSE,TRUE
7,Annual Operating Plan (AOP) Summary,273acdfc-dd80-4583-b6bc-b13d394d95b6,PROJECT_ID,yyyymm,,https://tableau.l3harris.com/#/views/PRT-AOPandFinancialSummary/PRT-AOPSummary,0.2,1.2,4.93,9.61,TRUE,TRUE
8,Financial Summary,9c84076c-a8cf-436f-b473-59f4d3de185d,PROJECT_ID,yyyymm,,https://tableau.l3harris.com/#/views/PRT-AOPandFinancialSummary/PRT-FinancialSummary,0.2,1.2,4.93,9.61,TRUE,TRUE
9,Schedule Metrics and Analysis Reporting Tool (SMART),411e91d8-80b0-4ba5-b1e8-33bce17f9e97,PA Code,yyyymm,https://tableau.l3harris.com/#/workbooks/9370/views,https://tableau.l3harris.com/#/views/SMARTPerformanceMetrics/SMART-PRT,0.2,1.2,4.93,9.61,TRUE,TRUE
10,Program/Portfolio Health Dashboard (PHD),062ad681-a971-4f13-933b-a82200a513b0,PROJECT_ID,yyyymm,https://tableau.l3harris.com/#/workbooks/9049/views,https://tableau.l3harris.com/#/views/PRT2_0-ProgramHealthDashboard/PRT-ProgramHealthDashboard,0.2,1.2,4.93,9.61,TRUE,TRUE
11,Earned Value Management (EVM),d5e60745-40d3-4ae2-9533-d84113f5c7e6,PROJECT_ID,yyyy,https://tableau.l3harris.com/#/workbooks/9049/views,https://tableau.l3harris.com/#/views/PRT_EarnedValue/PRT-EVMSGoldCardandPerformanceTrends,0.2,1.2,4.93,9.61,TRUE,TRUE
12,Estimate at Completion (EAC) Trend,2bb761ba-f0ad-4983-a217-b66056bf1886,PROJECT_ID,yyyymm,,https://tableau.l3harris.com/#/views/PRT-ContractPerformanceReport/PRT-EstimateatCompleteCPR,0.2,1.2,4.93,9.61,TRUE,TRUE
13,Contract Performance Report (CPR),0ccad8dd-d205-41ca-a514-1bb6ccbcbfca,PROJECT_ID,yyyymm,https://tableau.l3harris.com/#/workbooks/10782/views,https://tableau.l3harris.com/#/views/PRT2_0-ContractPerformanceReport/PRT-ContractPerformanceReport,0.2,1.2,4.93,9.61,TRUE,TRUE
14,Staffing,bdee22b1-6607-47d3-9601-412bcd0eb3f3,PROJECT_ID,yyyymm,https://tableau.l3harris.com/#/workbooks/10857/views,https://tableau.l3harris.com/#/views/PRT_Staffing/PRT-Staffing,0.2,1.2,4.93,9.61,TRUE,TRUE
15,Risk Assessment,7f3f4409-97cd-4f55-b361-e8ce303b4ba2,PROJECT_ID,yyyymm,https://tableau.l3harris.com/#/workbooks/10873/views,https://tableau.l3harris.com/#/views/PRT-RiskOpportunity_17359120053240/PRTRiskAssessment,0.2,1.2,4.93,9.61,TRUE,TRUE
16,Risk Summary,db2ed28a-6e2c-4e75-a60a-8ac743c19cd1,PROJECT_ID,yyyymm,https://tableau.l3harris.com/#/workbooks/10873/views,https://tableau.l3harris.com/#/views/PRT-RiskOpportunity_17359120053240/PRTTotalRiskBurndown,0.2,1.2,4.93,9.61,TRUE,TRUE
18,Quality,df6c3d9b-d5e9-40e7-83d7-5468a691c426,PROJECT_ID,yyyymm,,https://tableau.l3harris.com/#/views/PRT_Quality/PRT-Quality,0.2,1.2,4.93,9.61,TRUE,TRUE
19,Engineering,17489096-963c-4f74-8085-bd92e51f489a,PA,yyyymm,https://tableau.l3harris.com/#/views/PRT_Quality/PRT-Quality,https://tableau.l3harris.com/#/views/PRTEngineeringLeadingIndicators_16910059214710/EngineeringLeadingIndicatorMetricsSummary,0.2,1.2,4.93,9.61,TRUE,TRUE
20,Software,f665e352-e1e2-42bb-b954-99f07f35b6c1,PA Parameter,yyyymm,https://tableau.l3harris.com/#/views/PRTEngineeringLeadingIndicators_16910059214710/EngineeringLeadingIndicatorMetricsSummary,https://tableau.l3harris.com/#/views/ExecutiveSummary_15877358226360/ExecutiveSummary,0.2,1.2,4.93,9.61,TRUE,TRUE
21,Material Management (Direct Dollars),7ad9b4be-0338-42fb-ac7f-d6dc0a8a0ea7,Project,yyyymm,https://tableau.l3harris.com/#/views/ExecutiveSummary_15877358226360/ExecutiveSummary,https://tableau.l3harris.com/#/views/ProgramETCEAC/PRT,0.2,1.2,4.93,9.61,TRUE,TRUE
22,Supply Chain,ef415de6-c243-4dee-8512-511bc5f65263,PRT Project,yyyymm,https://tableau.l3harris.com/#/views/ProgramETCEAC/ProgramDashboard?:iid=1,https://tableau.l3harris.com/#/views/DesignedtoautomateProgramManagementReviewslidesformonthlymeetings/PRT,0.2,1.2,4.93,9.61,TRUE,TRUE
